Day,T,W,SR,DSP,DRH,PanE
246,27,2.838,607.9,100.1,30,10.6
247,27.4,2.569,610.7,100,28,10.4
248,27.7,2.724,596.6,100,27,10.5
249,25.9,3.558,592.3,99.6,27,10.7
250,20.7,3.098,587.4,99.9,47,7.6
251,23.7,2.66,568.4,100.1,34,8.6
252,24.4,3.74,562.6,100.1,35,9.5
253,23.4,3.731,570,100,38,9.1
254,22.7,3.312,577.5,99.8,46,8.1
255,24.3,2.469,536.6,100,44,7.5
256,26.9,2.669,553.7,100.1,32,9.4
257,28,2.806,553.7,100.1,27,10.2
258,28.7,2.815,528.1,100,32,9.8
259,21.6,3.289,245.2,99.7,58,3.9
260,19.1,2.829,534.2,100,59,5.5
261,15.9,3.075,162.3,100.1,70,2.4
262,16.4,2.228,494.5,100.1,69,4.1
263,20.3,2.319,523.5,100.4,52,5.8
264,22.1,1.954,518.1,100.2,56,5.7
265,24.4,2.036,503.1,99.9,56,6.1
266,26.5,2.915,513.1,99.9,43,7.9
267,22.5,2.961,472.4,100.1,55,6.2
268,22.4,2.578,498.7,100.3,50,6.6
269,22.5,2.761,485.7,100.3,51,6.4
270,21.5,2.756,476.5,100.1,56,5.9
271,20.2,2.496,226.9,100.3,60,3.3
272,20.4,3.198,432.2,100.5,70,4.6
273,19.4,4.086,442,100.6,60,5.6
274,19.1,2.136,478.3,100.1,60,4.8
275,17.2,3.116,422.8,99.9,56,4.7
276,16.4,2.196,434.4,100.5,63,3.9
277,17.6,1.581,463.8,100.4,49,4.5
278,19.5,2.237,473.5,100.2,42,5.6
279,20.9,2.802,451.8,100.6,37,6.4
280,20.9,2.533,441.4,100.8,41,5.9
281,21.4,2.761,449.4,100.7,40,6.3
282,22.4,2.387,442.6,100.6,40,6.2
283,21.9,2.282,421.3,100.4,44,5.8
284,21.8,2.023,448.6,100.4,28,6.5
285,21.9,2.428,415.6,100.4,40,5.9
286,20.2,2.278,395.7,100.4,46,5.2
287,19,2.428,389.4,100.2,49,4.8
288,17.3,2.761,393.6,100.3,55,4.3
289,17.9,2.114,393.3,100.3,54,4.1
290,19.8,1.772,395.1,100.5,46,4.5
291,21.2,2.1,397.4,100.7,40,5.2
292,21.6,2.451,392,100.4,36,6.1
293,21.3,3.394,350.3,100.1,28,7
294,18,3.243,160.2,100.5,70,2.8
295,19.5,2.692,316,100.7,63,3.6
296,19.3,4.205,239.6,100.7,55,4.7
297,16.6,3.526,272,100.7,73,2.3
298,13.2,3.417,353.6,100.7,69,2.7
299,11.7,2.004,378.2,101.2,58,2.6
300,12.9,2.884,372.3,101,62,2.9
301,11.8,2.765,282.4,100.9,78,1.9
302,12.4,1.95,361.7,101,55,2.8
303,12.7,2.114,363,101,46,3.3
304,12.3,1.658,354.1,100.7,49,2.9
305,12.9,1.9,348.3,101,47,3.1
306,12.7,1.563,342.6,101,48,2.8
307,13.1,1.69,329.5,100.7,43,3.1
308,13.9,2.105,329.6,100.4,41,3.5
309,14.8,2.601,315.5,100.3,42,3.6
310,13.5,2.478,310.4,100.7,66,2.4
311,12.4,2.2,277.7,100.7,65,2.2
312,12.8,1.799,294.5,100.9,59,2.3
313,12.6,1.499,297.2,101,57,2.2
314,13.6,1.057,292.2,100.6,54,2.2
315,14.3,1.704,261.2,100.3,53,2.5
317,13.9,1.553,265.6,100.6,65,1.9
318,10.6,1.727,198.8,100.8,85,0.8
319,10.8,2.164,155.3,101.1,84,0.8
320,9,1.54,146.9,100.8,93,0.3
321,11,1.13,259.2,100.2,69,1.4
322,13.3,1.025,280.2,100.7,51,2.2
323,13,1.658,286.2,100.9,47,2.6
324,13,1.745,272.5,100.6,50,2.6
325,12.4,1.098,242.5,100.8,55,1.9
326,12.3,1.722,223.5,100.7,58,1.9
327,10.6,1.758,228.1,100.6,73,1.4
328,11.6,1.822,149.9,100.3,73,1.1
329,11.5,3.663,87.4,100.2,79,0.9
330,10.7,3.617,234,101.1,60,2.3
331,6.8,1.048,263.5,101.3,71,1
332,7.5,1.367,280.3,101.5,55,1.6
333,8.3,1.266,264.5,101.2,47,1.7
334,8.2,1.699,262.9,101.4,53,1.7
335,6.8,2.127,256.4,101.5,66,1.4
336,8,1.863,267.6,101.6,61,1.7
337,8.6,2.004,256.2,101.5,56,1.7
338,8.4,1.781,229.6,101.2,63,1.3
339,9.2,1.257,220.6,101,64,1.3
340,10.1,1.886,201.2,101,67,1.4
341,9.6,1.622,219.6,101,66,1.2
342,10.3,2.355,236.6,101,62,1.5
343,7.1,0.993,72.4,100.9,99,0
344,6,1.859,85.7,101,100,0.1
345,7.1,1.599,169.7,101.4,74,0.9
346,4.7,1.221,228.5,101.3,66,0.9
347,5.3,1.758,236.8,100.9,62,1.3
348,5.2,1.982,234.4,101.1,63,1.2
349,6.4,1.389,219.1,100.7,55,1.3
350,5.9,0.897,226,100.2,58,1.1
351,6.3,1.412,229.5,100.1,60,1.3
352,2.7,0.966,146.2,100.3,90,0.3
353,4.5,0.729,200.6,101.1,78,0.6
354,3.2,1.758,190.1,101.3,83,0.5
355,3.5,1.121,55.8,101.4,100,0
356,3.1,1.38,80.6,101.8,98,0
357,3,1.367,116.6,101.8,96,0.1
358,2.6,1.112,93.5,101.6,93,0.1
359,2.5,1.335,146,101.3,89,0.3
360,2.9,0.797,126,101,89,0.2
361,4.8,1.813,195.5,100.7,70,0.8
362,5.2,2.187,97.9,100.6,89,0.3
363,4.3,2.592,113.1,100.7,97,0.2
364,5.2,1.74,223.2,101,67,1
365,6.4,1.859,217.5,101.1,59,1.3
1,5.6,2.25,91.4,100.6,78,0.7
2,6.2,3.585,108.4,100.6,86,0.6
3,5.2,2.045,250.9,101.4,67,1.2
4,4.1,1.43,222.6,101.8,73,0.8
5,4.1,1.485,228.3,101.8,77,0.8
6,5,1.216,229.4,101.6,72,0.9
7,8.8,1.845,209.1,101.6,63,1.5
8,9.4,1.444,215.9,101.3,63,1.4
9,9.3,1.954,253.9,101.1,63,1.5
10,9.5,2.1,217.9,100.9,68,1.3
11,11.6,2.31,222.8,100.4,61,1.7
12,12.5,3.284,113.9,100.2,67,1.3
13,12.5,4.856,143.9,100.2,88,1.2
14,10.6,3.453,131.3,100.4,83,0.9
15,9.8,1.289,151.2,100.8,82,0.6
16,7,2.214,87.4,100.2,94,0.2
17,3.8,2.237,124.8,100.3,88,0.3
18,4.5,2.004,227.8,100.7,73,0.9
19,6.2,1.553,258.4,100.5,67,1.2
20,4.5,2.255,232.5,101.2,84,0.7
21,5.6,1.758,265,101.2,76,0.9
22,3.7,1.412,199.7,101,93,0.3
23,3.2,1.485,124.7,101.2,99,0
24,3.8,1.581,111.3,101.3,96,0.1
25,5.4,1.362,211,101.2,80,0.7
26,7.2,4.004,263.6,100.9,64,2.1
27,5.5,2.004,273.5,101.5,64,1.5
28,6.5,1.645,289.3,101.5,62,1.5
29,7.8,2.337,318.7,100.8,64,1.8
30,8.6,2.888,164.7,99.7,77,1.2
31,8.4,1.799,261.2,100.2,69,1.5
33,6,2.223,259.8,101.4,83,1
34,9.7,2.975,265.4,101,56,2.5
35,7.7,4.141,153.3,100.8,78,1.3
36,7,2.004,316.1,101.3,64,1.7
37,7.4,2.41,128.4,101,82,0.8
38,5.9,3.863,368.5,101.1,61,2.4
39,5.5,2.346,337.2,101.2,62,1.8
40,8.7,2.182,329.2,101.6,58,2.3
41,8.8,1.59,339.8,101.5,63,1.9
42,10.2,2.027,253.1,100.8,69,1.6
43,11.9,3.412,334.4,100.3,69,3
44,6.2,7.261,399.6,100.5,45,5.1
45,3.1,5.006,401.6,100.5,41,3.8
46,2.5,2.961,374.3,101,39,2.8
47,6.2,5.854,131,100.2,42,3.6
48,7.5,4.305,203.1,100.2,80,1.3
49,5.3,3.171,255.2,100.7,78,1.4
50,4.8,3.011,351.2,101.3,73,1.7
51,6.7,2.451,274.2,101.6,61,1.9
52,8.5,1.485,256,101.4,69,1.5
53,9.9,1.549,409.9,101.3,59,2.5
54,11.9,2.642,362.9,101.3,59,2.8
55,12.9,1.931,330.2,101.1,62,2.4
56,14.1,2.045,357.1,100.8,63,2.8
57,14.9,1.931,398.4,100.7,59,3.2
58,14.2,2.032,385.7,100.9,67,2.8
59,14.7,1.676,392.8,100.9,65,2.8
60,13.1,1.699,170.9,100.8,78,1.2
61,13.1,1.604,167.6,100.9,80,1.1
62,14.2,1.658,262.9,100.8,73,1.8
63,11.8,3.767,340.8,100.3,73,2.4
64,9.3,3.294,265.9,100.8,69,2.1
65,11.9,2.36,464.7,101.1,56,3.6
66,12.9,3.061,419.9,100.5,56,3.7
67,11.7,5.594,381.3,100.3,66,4
68,11.7,2.578,418.6,100.3,62,3.3
69,10.8,2.847,203.1,100.2,72,1.6
70,7.8,3.827,356.6,100.4,61,2.7
71,7,2.164,339.6,100.8,63,2
72,8,2.182,487.5,101.3,53,3.2
73,9.7,2.533,465.3,101.3,56,3.4
74,11.1,2.346,350.7,100.9,72,2.2
75,15.9,1.508,405.3,100.8,48,3.7
76,18,2.533,504,100.7,45,5.6
77,16.7,2.064,508.8,100.7,54,4.6
78,16.6,2.31,276.3,101,60,3.1
79,18.1,2.378,507.7,100.9,52,5.2
80,18,1.972,514.4,100.7,52,4.9
81,17.9,2.606,464,100.6,54,4.8
82,17.2,2.865,541.9,100.6,56,5.3
83,17.4,2.164,533.4,100.3,54,5
84,16.4,4.524,560.4,100.6,50,6.4
85,14.6,3.576,560.5,100.5,55,5.6
86,15.7,2.697,561.5,100.2,49,5.6
87,14,2.843,500.3,100.1,61,4.3
88,15.6,2.606,538.3,100.1,48,5.5
89,16.3,2.323,562.5,100.1,49,5.7
90,16.8,2.205,572.1,100.2,45,5.8
91,17.5,3.23,576.8,100.3,41,6.9
92,17.2,2.3,583.7,100.6,43,6.4
93,20.5,2.396,564.6,100.3,35,7.4
94,19.7,2.984,484.1,100.1,39,6.8
95,18.9,2.351,538.5,100.2,41,6.6
96,17.1,3.681,523.4,100.4,59,5.5
97,13.8,3.781,275.9,100.5,73,2.7
98,16,4.077,505.7,100.8,54,5.7
99,17.2,2.583,612.6,101.1,50,6.3
100,20.3,3.389,554.7,101,43,7.5
101,21,5.102,638,100.7,34,10.9
102,20.8,2.519,586.3,100.4,43,7.4
103,23.2,1.977,568,100.2,38,7.4
104,23.2,2.537,510.1,100.1,41,7.1
105,18.8,2.587,561.4,100,54,6.2
106,15.2,3.571,293.8,99.8,76,2.9
107,17.4,2.966,548.1,100.1,57,5.6
108,18.6,3.029,549.6,100.2,56,5.9
109,18.2,4.683,552.9,100.4,54,6.5
110,18.3,3.549,465.2,100.5,57,5.5
111,18.6,4.155,657,100.2,48,8.1
112,17.7,4.965,600.3,100.2,52,7.2
113,16.1,4.118,450.3,100,78,3.8
114,15.8,4.186,526.9,100.2,57,5.8
115,19,1.74,624.5,100.6,48,6.2
116,21.3,3.152,667.9,100.4,50,8.4
117,23.2,2.592,646.3,100.2,45,8.5
118,22.3,5.931,649.2,100,42,11.2
119,17.1,6.692,723.1,99.9,28,11.9
120,16.2,2.1,656.1,99.9,43,6.7
121,19.4,1.667,711.8,99.9,31,8.2
122,21.7,2.824,694.8,99.9,30,9.8
123,25,2.87,700.9,100.2,30,11.1
125,28,3.093,704.9,100.3,25,12.6
126,26.9,3.417,717.4,100,27,12.8
127,23.5,4.291,736.4,99.7,24,13.2
128,22.9,2.669,716.9,99.9,25,10.7
129,20.2,3.48,691.4,100,37,9.3
130,16.3,3.307,397.3,100.2,51,5
131,18.7,3.266,695.6,100.1,44,8.2
132,19.7,3.767,704.2,100.2,37,9.5
133,20.2,2.993,630,100,35,8.8
134,20.1,4.492,731.3,99.9,32,10.8
135,18.9,3.667,729.2,100.3,40,9.3
136,22.5,2.902,641.5,100.3,31,9.4
137,20.2,5.189,709.3,100.1,31,11.4
138,17.2,4.546,716.9,100.3,38,9
139,16.5,5.94,705.7,100.3,40,9.7
140,19.8,4.555,742.7,100.5,38,10.2
141,21.2,4.391,577.7,100.5,45,8.3
142,21.9,3.412,724.3,100.4,47,9.5
143,16.6,3.991,399.6,100,71,3.9
144,16.4,4.71,762.7,100.5,48,9.1
145,19.4,3.453,696.5,100.3,39,9.1
146,20,4.774,621.3,100.3,47,9.1
147,16.6,3.562,183.9,99.9,82,2
148,16.3,4.934,494.8,99.7,70,4.9
149,18,3.968,719.9,100.3,57,8
150,18.5,4.624,599.2,100.3,53,7.7
151,17.3,5.99,570.9,100.4,48,8.2
152,18,4.264,744.2,100.6,47,9.3
153,22.1,3.075,760.9,100.6,38,10.5
154,23.6,5.139,722.6,100.7,38,12
155,24,4.961,760.9,100.3,39,12.6
156,24.1,5.193,769,100,38,13.1
157,24.7,7.084,749.4,100.3,45,13.9
158,24.1,4.829,762.9,100.3,44,12.1
159,27.7,2.3,737.6,100,39,11.1
160,27.8,3.421,503.5,99.6,38,9.6
161,25.7,5.831,713.2,100.1,34,14.5
162,23.3,4.405,774.3,100.4,30,13.1
163,23.5,5.384,788.6,100.1,30,14.3
164,20.4,5.772,776.3,99.7,37,12.4
165,19.3,3.858,742.6,100.1,41,9.8
166,20.3,3.394,640.4,100.2,50,8.1
167,22.7,4.35,756.1,100.2,45,11.2
168,24.8,4.022,762.8,100,34,12.5
169,22.9,4.742,775.4,100.5,35,12.6
170,26,2.068,766.1,100.3,36,10.9
171,30.6,3.171,757.2,99.8,29,13.8
172,30.7,2.952,747.8,99.6,31,13.4
173,26.5,4.223,758.7,100,34,13.2
174,26.3,3.64,765.2,100,40,12.1
175,27.3,4.451,761,100.2,37,13.6
176,27.2,4.378,769.9,100.4,29,14.6
177,27.8,3.407,773.3,100.4,26,14.1
178,26.8,5.58,783.7,100.2,25,16.1
179,26,3.603,773.9,99.9,38,12.4
180,28.8,3.476,758.3,99.9,35,13.2
181,29.2,3.389,674.9,100.1,35,12.5
182,29,4.369,698.7,100.1,27,14.7
183,26.7,5.339,734.2,100.1,23,15.5
184,26.3,3.43,763.6,99.9,33,12.6
185,24.6,4.815,761.9,100.3,33,13.4
186,25.2,5.139,763.6,100.3,39,13.2
187,25.3,5.052,762.8,100,47,12.5
188,26.8,3.421,762.2,99.7,34,12.7
189,27.3,3.927,749.1,99.8,38,12.8
190,28,3.854,742.3,100.1,39,12.8
191,30.3,3.025,628.6,100.2,35,11.8
192,31.3,2.633,405.7,100.1,38,9.1
193,33.8,3.535,619.9,100.1,31,14
194,34.9,3.571,689.4,100.1,31,15.3
195,33.9,3.858,723.7,99.6,34,15.2
196,31.8,2.934,675,99.5,36,12.5
197,29.4,3.813,691.7,100,36,12.4
198,28.9,4.186,696.2,100.3,38,12.8
199,30.2,4.15,701.2,100.1,36,13.7
200,31,4.36,716.9,99.9,34,14.8
201,31.9,3.927,719.4,99.9,34,14.7
202,32.7,4.141,729.3,99.9,30,15.6
203,31.2,3.644,732.2,99.9,29,14.5
204,28.5,3.991,722.4,99.7,35,12.8
205,25.7,3.963,734.9,99.7,31,12.3
206,24.9,3.754,728,100,36,11.5
207,26.2,2.902,732.3,100.3,31,11.7
208,28.5,2.943,713.9,100.2,31,12.2
209,29.7,3.307,707.6,100,32,12.7
210,29.8,3.708,709,100.1,35,13
211,29.8,3.59,703.8,100.1,36,12.9
212,29.4,3.266,699.7,100,37,12.1
213,29.2,3.048,706.4,99.8,36,11.9
214,29.1,3.366,686.9,100,40,11.6
215,29,3.854,674.2,100.2,37,12.1
216,29.4,3.458,694,100.2,38,12
217,31.1,2.915,636.5,100.1,41,11.3
218,33.4,2.865,643,100,34,12.3
219,34.9,3.262,640.2,100,29,13.7
220,33.7,3.59,570.8,100,34,12.6
221,33.8,3.544,602.1,99.9,37,12.9
222,32.6,3.417,543.9,100,41,11.7
223,31.9,3.13,533.9,100,35,11.7
224,31.3,3.553,640.4,100.1,32,12.9
225,29.5,3.353,643.9,100,36,11.6
226,26.4,4.396,606.7,99.9,34,11.3
227,23.2,4.373,654.9,100.2,47,9.8
228,24,4.833,673.5,100.4,44,10.7
229,24.8,4.929,659.8,100.2,47,10.7
230,21.9,5.353,404.6,100.3,50,7.5
231,21.8,3.986,643.4,100.1,50,8.7
232,23.7,2.469,629.1,100.1,42,8.4
233,24.3,3.489,639.7,100.5,46,9.3
234,26.3,2.824,635.8,100.3,38,10
235,27.4,2.61,632.4,99.8,35,10.2
236,22.9,5.034,653.3,100,35,10.9
237,20.2,4.022,637.4,100.4,46,8.5
238,21.5,2.086,621.6,100.6,48,7.3
239,23.5,3.503,618.7,100.6,43,9.1
240,25,2.865,618.4,100.5,44,9
241,26.5,4.018,614.3,100.4,38,10.8
242,24.6,6.232,621,100.4,41,12.1
243,24.2,3.553,627.1,100.2,39,9.9
244,25.7,2.515,614.3,100.1,33,9.6
245,26,3.079,613.6,100.1,34,10.2
246,25.5,3.881,609.5,100.1,33,10.9
247,25.3,2.984,598.9,100.3,35,9.7
248,26.2,2.811,592.4,100.3,38,9.3
249,26.5,3.726,572.4,100.4,33,10.7
250,26.1,3.612,584.3,100.5,33,10.7
251,25.5,2.92,585.4,100.3,31,9.9
252,26.2,2.114,576.8,100.1,33,8.9
253,28.2,2.747,571.8,100,33,10
254,26.6,3.749,559.3,100.2,36,10.4
255,26.1,3.412,571.5,100.2,32,10.3
257,22.8,4.651,559.8,100.4,42,9.6
258,22.5,4.387,554.5,100.3,41,9.3
259,22.5,2.455,556.3,100,37,7.8
260,23.3,2.423,456.1,99.8,35,7.1
261,22.6,2.888,503.3,100.1,47,6.9
262,22.1,2.587,440.4,100,50,6.1
263,24.3,1.936,496.1,99.7,45,6.8
264,24.6,3.904,314.1,100,40,7
265,22.2,3.508,431.4,100.4,55,6
266,20.2,3.002,355.4,100.5,69,4.2
267,22,2.833,490.2,100.5,52,6.4
268,21.7,3.271,473.9,100.5,54,6.3
269,21.6,3.307,472.1,100.5,54,6.4
270,21.7,3.617,482.4,100.2,50,7
271,22.5,1.508,474.8,100.1,46,5.8
272,24.3,1.654,472.1,100.1,39,6.5
273,25.5,1.599,480.6,100.2,33,7.2
274,25.9,1.991,466,100.1,32,7.5
275,23,3.098,474.2,99.9,44,7.4
276,23.3,1.663,461.5,100.3,37,6.5
277,26.9,3.12,469.9,100.4,28,9
278,23.2,3.38,432.6,100.3,45,6.8
279,20.1,2.938,452.4,100.2,49,5.9
280,17.9,2.783,467.8,100.5,29,6.6
281,18.4,1.859,457.8,100.9,30,5.8
282,20.2,1.59,464.3,101,25,6.2
283,19.5,1.808,458.6,100.4,26,6.2
284,19.6,1.426,430.6,100.3,27,5.7
285,20,1.49,426.7,100.4,26,5.7
286,19.6,2.018,428.1,100.2,30,5.8
287,20,1.271,420.5,100.2,35,5
288,20.4,2.114,414.5,100.1,33,5.8
289,19.8,2.464,415.2,100.1,43,5.5
290,19.7,1.339,416.4,100.3,42,4.8
291,20.3,3.617,275.2,100.4,29,6.3
292,17.1,4.61,284.4,100.3,61,4.5
293,15.3,1.859,387.7,100.8,45,3.9
294,17.4,1.075,393.4,100.8,35,4.3
295,17.6,1.098,378.9,100.4,31,4.4
296,18.2,1.558,376.7,100.5,36,4.6
297,19.6,1.157,381.9,100.6,34,4.6
298,20.1,1.881,319.2,100.6,32,4.9
299,17.9,1.358,283.4,100.6,46,3.3
300,19,1.002,368,100.6,34,4.2
301,18,1.221,358.7,100.6,41,3.9
302,17.6,2.273,325.9,100.5,47,4.2
303,15.8,1.367,339.2,100.5,51,3.2
304,14.9,2.984,176.2,100.6,63,2.4
305,11.5,3.758,360.7,100.6,56,3.8
306,10.5,1.768,346.2,100.7,46,3.2
307,11.3,1.626,343.4,101.1,36,3.4
308,12.8,1.262,345.5,101.2,30,3.6
309,13.3,2.665,334.4,100.4,31,4.6
310,10.7,1.535,327.8,100.4,36,3.2
311,10.5,1.64,320.4,101.1,36,3.2
312,12.3,1.408,314.4,101.4,29,3.6
313,13.1,1.175,318.7,101.2,29,3.5
314,13.5,1.016,317.9,101,32,3.3
315,14.2,1.522,269.1,100.9,36,3.3
316,15.1,1.335,308.5,100.9,38,3.4
317,15.8,1.918,268,100.3,30,4.1
318,13.1,3.549,253.7,100.4,59,3.3
319,12.3,1.727,137.4,100.9,77,1.1
320,13.9,1.389,202.2,100.9,64,1.9
321,14.8,0.948,242.6,100.8,57,2.2
322,13.5,1.736,203.7,100.4,59,2.3
323,13.9,1.699,158.1,99.9,57,2.3
324,9.5,4.309,257.1,100.5,56,2.9
325,8.1,1.052,273.4,101.1,47,1.9
326,8.8,0.77,278.7,101.6,53,1.8
327,8.9,1.153,274.2,101.2,47,2
328,9.1,0.884,275.8,100.6,55,1.8
329,10.4,2.273,257,100.3,47,2.3
330,6.5,4.177,209.6,100.5,72,1.7
331,5.7,1.499,263.5,101.2,64,1.3
332,6.9,0.733,250.5,101.6,61,1.2
333,8.3,0.679,234.4,101.4,55,1.4
334,8.6,1.444,244.5,101.1,55,1.7
335,6.9,1.143,233.2,101.3,61,1.2
336,5.7,1.38,209.6,101.7,55,1.3
337,6.6,0.952,218.2,101.5,57,1.2
338,7.4,1.212,221.2,101.4,61,1.2
339,5.8,1.44,217.6,101.5,66,1.1
340,7.2,0.861,228.3,101.4,56,1.3
341,7.9,0.998,222,101.2,54,1.4
342,7.8,0.966,239.6,101,51,1.5
343,8.2,1.125,245.1,100.9,45,1.8
344,11.3,2.483,236.9,100.6,36,3
345,11.2,3.084,101.7,100.6,76,1.4
346,10,1.695,111.4,100.6,85,0.7
347,8.5,1.877,123,100.8,79,0.8
348,3.4,1.622,118.2,100.9,90,0.3
349,4.5,2.724,101.8,100.3,86,0.5
350,4,2.3,204.2,100.8,66,1
351,4.7,1.813,152.1,101.5,79,0.6
352,5.4,0.692,232.2,100.9,67,0.9
353,4.6,2.979,66,99.7,88,0.5
354,1.2,1.945,211.7,100.2,68,0.9
355,-1.5,3.899,217.4,100.6,68,1.4
356,-3,1.512,244,101.3,62,0.9
357,-1.9,0.975,240.9,101.7,57,0.8
358,-0.5,1.317,246.3,101.6,55,1
359,0.5,1.38,231.9,101.2,53,1.1
360,1.8,0.601,231.7,101,53,1
361,2.7,1.79,243.6,100.8,56,1.2
362,3.2,1.977,228.7,99.9,57,1.3
363,1.1,1.043,202.4,100.7,74,0.6
364,2.2,1.339,237.1,101.6,60,1.1
365,2.3,0.72,238.9,101.5,56,1
